iter	MultiClass
0	1.153011299
1	0.9967866891
2	0.8747949999
3	0.7760327237
4	0.6980399874
5	0.6307514451
6	0.5733066636
7	0.5244589714
8	0.481469893
9	0.445699011
10	0.4127393229
11	0.3824864864
12	0.3573171849
13	0.3353729042
14	0.3164212469
15	0.2998416452
16	0.2837421343
17	0.2687971989
18	0.2559895132
19	0.2442989662
20	0.233636015
21	0.2239232954
22	0.2148547232
23	0.2068265794
24	0.1997669932
25	0.193829814
26	0.1880987024
27	0.1822290409
28	0.1770419162
29	0.1718202435
30	0.1675669022
31	0.1633132671
32	0.1593796467
33	0.1563777003
34	0.1524401039
35	0.1502652275
36	0.1471295656
37	0.1440680316
38	0.1416640991
39	0.139909409
40	0.1384832782
41	0.1373208399
42	0.1352256044
43	0.1347992972
44	0.1337702752
45	0.1321648483
46	0.130031659
47	0.1292503868
48	0.1282583048
49	0.1258514339
50	0.1243774284
51	0.1234132475
52	0.1224981543
53	0.1211126261
54	0.120737921
55	0.119921776
56	0.1189061022
57	0.118224932
58	0.1172318818
59	0.116568053
60	0.1153146985
61	0.1139575539
62	0.1133517774
63	0.1129280836
64	0.1125616687
65	0.1115834595
66	0.1109383906
67	0.1097858509
68	0.1089020027
69	0.1072485925
70	0.106582347
71	0.1059994968
72	0.1050545387
73	0.1042095719
74	0.1038751569
75	0.1032828136
76	0.1025252794
77	0.1016728552
78	0.1012163472
79	0.100650403
80	0.09957688335
81	0.09917218934
82	0.0985665906
83	0.09815168932
84	0.09693805734
85	0.09596819007
86	0.09550662549
87	0.09485104438
88	0.09418735685
89	0.09392633868
90	0.09343433401
91	0.09268661821
92	0.09187819534
93	0.09133784642
94	0.09078070764
95	0.09020831703
96	0.08978296011
97	0.08921033313
98	0.08877342314
99	0.08852581074
100	0.08776483674
101	0.08744881199
102	0.08626053462
103	0.08587499549
104	0.08562920964
105	0.08531821723
106	0.08511640722
107	0.08493921916
108	0.08401299768
109	0.08368121833
110	0.08331912062
111	0.08285656878
112	0.08246343018
113	0.08209387441
114	0.08149024587
115	0.08119620033
116	0.08093515838
117	0.08075861098
118	0.0804624285
119	0.0802146499
120	0.0797607692
121	0.07937609525
122	0.07888517398
123	0.07835644063
124	0.07764117944
125	0.07719572541
126	0.07693190911
127	0.07636526591
128	0.07614080627
129	0.07587789598
130	0.07545137927
131	0.07526531304
132	0.07502624487
133	0.07470931288
134	0.0740694597
135	0.07379746846
136	0.0735654334
137	0.07329551969
138	0.07307201765
139	0.07281049191
140	0.07227838175
141	0.07201285396
142	0.07156458566
143	0.07136390577
144	0.07116292713
145	0.07070552009
